description,name,geometry
,00100,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.89738,60.167945,0.0 24.894848,60.1723,0.0 24.899569,60.176313,0.0 24.904032,60.177038,0.0 24.90931,60.177977,0.0 24.910083,60.176846,0.0 24.913988,60.176185,0.0 24.93257,60.178063,0.0 24.94154,60.178383,0.0 24.945982,60.176857,0.0 24.946797,60.17595,0.0 24.947312,60.174712,0.0 24.950767,60.174733,0.0 24.948835,60.172769,0.0 24.949329,60.16914,0.0 24.951067,60.16897,0.0 24.951024,60.167817,0.0 24.94257,60.167731,0.0 24.943578,60.16676,0.0 24.942484,60.16628,0.0 24.940231,60.167603,0.0 24.933085,60.165148,0.0 24.931648,60.166034,0.0 24.933,60.166429,0.0 24.931498,60.166963,0.0 24.915361,60.168799,0.0 24.911799,60.16897,0.0 24.901328,60.168714,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00120,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.946518,60.161006,0.0 24.941561,60.160718,0.0 24.940188,60.161412,0.0 24.938536,60.160888,0.0 24.93772,60.160985,0.0 24.936497,60.160675,0.0 24.935789,60.161166,0.0 24.933493,60.160269,0.0 24.931841,60.160878,0.0 24.928193,60.159746,0.0 24.926927,60.160878,0.0 24.935274,60.163654,0.0 24.933558,60.164775,0.0 24.933085,60.165148,0.0 24.940231,60.167603,0.0 24.942484,60.16628,0.0 24.943578,60.16676,0.0 24.944007,60.16423,0.0 24.946089,60.164283,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00130,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.94257,60.167731,0.0 24.951024,60.167817,0.0 24.952269,60.167828,0.0 24.955273,60.167016,0.0 24.956732,60.167347,0.0 24.957547,60.1666,0.0 24.958277,60.164956,0.0 24.957504,60.163995,0.0 24.958041,60.162533,0.0 24.948792,60.160558,0.0 24.948578,60.161305,0.0 24.946518,60.161006,0.0 24.946089,60.164283,0.0 24.944007,60.16423,0.0 24.943578,60.16676,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00140,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.958041,60.162533,0.0 24.961882,60.159853,0.0 24.963598,60.156308,0.0 24.962697,60.155176,0.0 24.959393,60.154364,0.0 24.958363,60.153403,0.0 24.956474,60.153254,0.0 24.950552,60.154728,0.0 24.944608,60.154631,0.0 24.945381,60.154994,0.0 24.9439,60.157493,0.0 24.943364,60.158497,0.0 24.943128,60.159105,0.0 24.943149,60.159607,0.0 24.945917,60.159682,0.0 24.945982,60.160162,0.0 24.946904,60.160216,0.0 24.946518,60.161006,0.0 24.948578,60.161305,0.0 24.948792,60.160558,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00150,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.928708,60.146547,0.0 24.924073,60.146077,0.0 24.919739,60.147871,0.0 24.91622,60.147807,0.0 24.923944,60.153916,0.0 24.925704,60.160472,0.0 24.926927,60.160878,0.0 24.928193,60.159746,0.0 24.931841,60.160878,0.0 24.933493,60.160269,0.0 24.935789,60.161166,0.0 24.936497,60.160675,0.0 24.93772,60.160985,0.0 24.938536,60.160888,0.0 24.940188,60.161412,0.0 24.941561,60.160718,0.0 24.946518,60.161006,0.0 24.946904,60.160216,0.0 24.945982,60.160162,0.0 24.945917,60.159682,0.0 24.943149,60.159607,0.0 24.943128,60.159105,0.0 24.943364,60.158497,0.0 24.9439,60.157493,0.0 24.945381,60.154994,0.0 24.944608,60.154631,0.0 24.940896,60.154151,0.0 24.938021,60.153254,0.0 24.936047,60.154258,0.0 24.932442,60.153403,0.0 24.928193,60.149324,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00160,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.969563,60.162671,0.0 24.976816,60.165255,0.0 24.981322,60.167283,0.0 24.978704,60.168991,0.0 24.975314,60.170165,0.0 24.969907,60.168735,0.0 24.96583,60.16976,0.0 24.959135,60.169343,0.0 24.956732,60.167347,0.0 24.957547,60.1666,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00170,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.965615,60.177209,0.0 24.972782,60.17484,0.0 24.971838,60.171852,0.0 24.961324,60.170165,0.0 24.959135,60.169343,0.0 24.956732,60.167347,0.0 24.955273,60.167016,0.0 24.952269,60.167828,0.0 24.951024,60.167817,0.0 24.951067,60.16897,0.0 24.949329,60.16914,0.0 24.948835,60.172769,0.0 24.950767,60.174733,0.0 24.947312,60.174712,0.0 24.946797,60.17595,0.0 24.945982,60.176857,0.0 24.949501,60.176345,0.0 24.951797,60.176526,0.0 24.953728,60.177241,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00180,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.901328,60.168714,0.0 24.89738,60.167945,0.0 24.896736,60.165597,0.0 24.897423,60.163333,0.0 24.903002,60.15571,0.0 24.920812,60.160707,0.0 24.92197,60.162351,0.0 24.925704,60.160472,0.0 24.926927,60.160878,0.0 24.935274,60.163654,0.0 24.933558,60.164775,0.0 24.933085,60.165148,0.0 24.931648,60.166034,0.0 24.933,60.166429,0.0 24.931498,60.166963,0.0 24.915361,60.168799,0.0 24.911799,60.16897,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00190,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.992094,60.148427,0.0 24.992995,60.146184,0.0 24.994712,60.144389,0.0 24.99454,60.143342,0.0 24.992523,60.142744,0.0 24.991021,60.142359,0.0 24.990335,60.141419,0.0 24.990764,60.140244,0.0 24.991322,60.139069,0.0 24.991236,60.138129,0.0 24.990163,60.137595,0.0 24.985614,60.137616,0.0 24.984541,60.138171,0.0 24.982567,60.140586,0.0 24.981108,60.141227,0.0 24.979262,60.142979,0.0 24.977202,60.144581,0.0 24.9754,60.145543,0.0 24.973555,60.145649,0.0 24.972396,60.146782,0.0 24.970207,60.148085,0.0 24.972439,60.149772,0.0 24.976172,60.150114,0.0 24.979048,60.151182,0.0 24.980893,60.151097,0.0 24.983983,60.150007,0.0 24.989648,60.149345,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
,00200,"<Polygon><outerBoundaryIs><LinearRing><coordinates>24.885492,60.15697,0.0 24.872575,60.154172,0.0 24.870172,60.152592,0.0 24.867983,60.152869,0.0 24.857211,60.151011,0.0 24.853349,60.153019,0.0 24.852233,60.155582,0.0 24.854507,60.156863,0.0 24.851804,60.160622,0.0 24.847469,60.160814,0.0 24.845924,60.161945,0.0 24.84777,60.166408,0.0 24.852448,60.166237,0.0 24.855409,60.170464,0.0 24.86412,60.17183,0.0 24.866095,60.167134,0.0 24.875407,60.167134,0.0 24.878025,60.170187,0.0 24.887037,60.169994,0.0 24.893346,60.164849,0.0 24.897165,60.160942,0.0 24.895492,60.157611,0.0 24.887638,60.156756,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
